#input
r(A),H1-H1,H1-H2,H1-O,H2-H1,H2-H2,H2-O,O-H1,O-H2,O-O
277.08750000000003,1.000000000006461,0.9999999999968153,1.0000000000004512,1.0000000000030982,0.9999999999986784,1.0000000000001625,1.0000000000004394,1.0000000000002147,1.0000000000029987
277.1125,0.9999999999951497,1.000000000001992,1.0000000000001654,0.9999999999989031,0.99999999999859,1.0000000000000278,1.0000000000002882,0.9999999999999463,1.00000000000053
277.1375,1.0000000000064393,0.999999999996664,1.0000000000005365,0.9999999999970566,0.9999999999986025,1.000000000000036,1.000000000000511,1.0000000000001044,0.999999999998815
277.1625,1.0000000000027314,1.0000000000018656,1.000000000000478,0.9999999999988242,0.9999999999986011,0.9999999999998522,1.0000000000004385,0.9999999999999353,1.0000000000004547
277.1875,0.9999999999986494,0.9999999999965621,1.0000000000007332,0.9999999999987963,0.999999999998541,0.9999999999999125,1.0000000000006035,1.0000000000000862,1.0000000000013736
277.21250000000003,0.9999999999950188,1.0000000000017955,1.000000000000703,0.999999999998781,0.9999999999985909,0.9999999999997949,1.000000000000461,1.0000000000000822,1.000000000000374
277.2375,1.0000000000011209,0.9999999999963605,1.00000000000084,0.9999999999987115,0.9999999999987146,0.9999999999997833,1.0000000000005962,1.0000000000000728,1.0000000000022462
277.2625,0.9999999999950804,1.0000000000015525,1.0000000000006986,0.9999999999985443,0.999999999998725,0.9999999999996242,1.0000000000005724,0.9999999999997969,1.0000000000002882
277.2875,0.9999999999937101,0.9999999999961029,1.000000000000838,0.9999999999984163,0.9999999999987834,0.9999999999995216,1.0000000000005755,0.9999999999998316,1.0000000000081333
277.3125,0.9999999999950943,1.0000000000013176,1.0000000000006501,0.9999999999983588,0.9999999999988174,0.9999999999991996,1.0000000000003237,0.999999999999574,1.0000000000002036
277.33750000000003,1.0000000000010112,0.9999999999959657,1.0000000000005547,0.9999999999984102,0.9999999999976814,0.9999999999992392,1.0000000000003095,0.9999999999995327,0.9999999999962255
277.3625,1.0000000000026095,1.0000000000012845,1.0000000000001692,0.9999999999983831,0.9999999999987792,0.9999999999989599,1.0000000000000198,0.9999999999991583,1.00000000000012
277.3875,1.000000000006091,1.000000000003647,1.0000000000003917,0.9999999999984085,0.9999999999993167,0.999999999999119,1.0000000000002485,0.999999999999313,1.0000000000021134
277.4125,0.9999999999948601,1.0000000000012332,1.0000000000001728,0.9999999999983755,0.9999999999987452,0.9999999999989678,1.000000000000075,0.9999999999991165,1.0000000000000333
277.4375,0.9999999999934301,1.000000000007,1.0000000000003422,0.9999999999983962,0.9999999999977851,0.9999999999989845,1.0000000000000793,0.9999999999992985,1.0000000000079952
277.46250000000003,0.9999999999983575,1.0000000000011517,1.000000000000096,0.9999999999983638,0.9999999999988362,0.9999999999987427,0.9999999999997508,0.9999999999991392,0.999999999999946
277.4875,1.000000000005811,0.9999999999993024,1.000000000000325,0.9999999999983782,0.9999999999992766,0.9999999999988622,0.9999999999999789,0.9999999999992609,0.9999999999960882
277.5125,0.9999999999982246,1.000000000001042,1.0000000000003166,0.9999999999983876,0.999999999998793,0.9999999999987813,0.9999999999999606,0.9999999999991898,0.9999999999998652
277.5375,0.9999999999933202,1.000000000006886,1.0000000000002716,0.9999999999984386,0.999999999997843,0.9999999999987722,0.9999999999999669,0.99999999999913,0.9999999999969622
277.5625,1.000000000000853,1.0000000000009979,0.9999999999999867,0.9999999999984089,0.9999999999989341,0.9999999999984458,0.9999999999997495,0.9999999999987366,0.9999999999997873
277.58750000000003,0.9999999999982279,0.9999999999940599,1.0000000000001328,0.9999999999984714,0.9999999999994981,0.9999999999986683,0.9999999999999211,0.9999999999989339,1.0000000000028777
277.6125,1.0000000000007057,1.000000000000987,0.999999999999914,0.999999999998437,0.9999999999989405,0.9999999999986302,0.999999999999822,0.9999999999987765,0.9999999999997116
277.6375,1.0000000000006417,0.9999999999990175,1.0000000000000617,0.9999999999985237,0.9999999999995198,0.999999999998753,0.9999999999998762,0.9999999999989932,0.9999999999909097
277.6625,1.0000000000006024,1.000000000000879,0.999999999999945,0.9999999999984033,0.9999999999989458,0.999999999998627,0.9999999999997391,0.9999999999988878,0.9999999999996361
277.6875,0.9999999999981356,0.9999999999938713,1.0000000000001303,0.9999999999984808,0.9999999999980305,0.9999999999988155,0.9999999999999395,0.9999999999990615,0.9999999999968574
