# density: 0.021017479720736955, temp: 85,# density: 0.021017479720736955, temp: 85
r,Ar_uv-Ar,r,Ar-Ar
0.138125,-2.563660551402336e-06,0.138125,7.051063516172462e-06
0.139375,-2.623316234462436e-06,0.139375,7.050392490270951e-06
0.140625,-2.682678267973415e-06,0.140625,7.0497161672733455e-06
0.141875,-2.7417405590313138e-06,0.141875,7.049034479678085e-06
0.143125,-2.800497011179459e-06,0.143125,7.0483473528781815e-06
0.144375,-2.8589395277833773e-06,0.144375,7.047654712266649e-06
0.145625,-2.9170637816378076e-06,0.145625,7.046956490341927e-06
0.146875,-2.974863839710906e-06,0.146875,7.046252658682306e-06
0.148125,-3.032332170249674e-06,0.148125,7.045543128469944e-06
0.149375,-3.089467064398832e-06,0.149375,7.044827789570718e-06
0.150625,-3.1462578853336254e-06,0.150625,7.04410664553734e-06
0.151875,-3.2027014995605896e-06,0.151875,7.0433796075519695e-06
0.153125,-3.258794350813332e-06,0.153125,7.042646586796764e-06
0.154375,-3.314530697906548e-06,0.154375,7.041907544191872e-06
0.155625,-3.369902870531405e-06,0.155625,7.041162415788449e-06
0.15687500000000001,-3.4249093197047387e-06,0.15687500000000001,7.040411119874079e-06
0.15812500000000002,-3.4795433734302605e-06,0.15812500000000002,7.039653553420067e-06
0.15937500000000002,-3.533802473754122e-06,0.15937500000000002,7.038889727084552e-06
0.160625,-3.587680772909607e-06,0.160625,7.0381195591551204e-06
0.161875,-3.64117511608697e-06,0.161875,7.037342907523225e-06
0.163125,-3.694279243404708e-06,0.163125,7.036559821926858e-06
0.164375,-3.7469925260325e-06,0.164375,7.035770131835761e-06
0.165625,-3.7993074606390564e-06,0.165625,7.034973858566218e-06
0.166875,-3.851223617346022e-06,0.166875,7.034170877773249e-06
0.168125,-3.9027345941633484e-06,0.168125,7.0333611716932865e-06
0.169375,-3.953840479908877e-06,0.169375,7.032544637297633e-06
0.170625,-4.004535327339909e-06,0.170625,7.031721249717293e-06
0.171875,-4.0548153315000945e-06,0.171875,7.030890923687139e-06
0.173125,-4.104679486971463e-06,0.173125,7.030053598811037e-06
0.174375,-4.154122997590548e-06,0.174375,7.029209196929287e-06
0.175625,-4.20314634652641e-06,0.175625,7.028357693172893e-06
0.176875,-4.251743050076584e-06,0.176875,7.027499016487582e-06
0.178125,-4.299911640970322e-06,0.178125,7.026633113582648e-06
0.179375,-4.3476483462256965e-06,0.179375,7.025759895640249e-06
0.180625,-4.39495442350335e-06,0.180625,7.024879327133249e-06
0.181875,-4.441825669943e-06,0.181875,7.023991358323656e-06
0.183125,-4.488257868473511e-06,0.183125,7.023095886182773e-06
0.184375,-4.534253079668815e-06,0.184375,7.022192928474169e-06
0.185625,-4.579805455762198e-06,0.185625,7.021282339536583e-06
0.186875,-4.624914204498509e-06,0.186875,7.020364151344438e-06
0.18812500000000001,-4.669578785865269e-06,0.18812500000000001,7.019438278632606e-06
0.18937500000000002,-4.713795881627902e-06,0.18937500000000002,7.0185046432413856e-06
0.19062500000000002,-4.757564891377797e-06,0.19062500000000002,7.01756320964364e-06
0.19187500000000002,-4.800884937594674e-06,0.19187500000000002,7.016613924548665e-06
0.193125,-4.843754435768233e-06,0.193125,7.015656752429322e-06
0.194375,-4.886171080187296e-06,0.194375,7.014691629336767e-06
0.195625,-4.928132302239874e-06,0.195625,7.013718477111297e-06
0.196875,-4.969642027674581e-06,0.196875,7.0127372922002e-06
0.198125,-5.010693300278035e-06,0.198125,7.011747999996487e-06
0.199375,-5.051288983537461e-06,0.199375,7.0107505472094545e-06
0.200625,-5.091426832137813e-06,0.200625,7.009744905417392e-06
0.201875,-5.131106181721634e-06,0.201875,7.008731024882309e-06
0.203125,-5.170326801362535e-06,0.203125,7.007708859418926e-06
0.204375,-5.209088506319404e-06,0.204375,7.006678341525685e-06
0.205625,-5.247388411788734e-06,0.205625,7.0056394640971575e-06
0.206875,-5.285227718587748e-06,0.206875,7.004592166737211e-06
0.208125,-5.322606597246704e-06,0.208125,7.003536410365996e-06
0.209375,-5.359524735126797e-06,0.209375,7.002472141692806e-06
0.210625,-5.395980103628517e-06,0.210625,7.00139933940136e-06
0.211875,-5.431973608693852e-06,0.211875,7.000317932437383e-06
0.213125,-5.4675050868979724e-06,0.213125,6.9992279243535904e-06
0.214375,-5.502575962879064e-06,0.214375,6.998129244095708e-06
0.215625,-5.537184534887274e-06,0.215625,6.997021845478457e-06
0.216875,-5.5713306181814914e-06,0.216875,6.99590573915998e-06
0.218125,-5.605014692378063e-06,0.218125,6.994780850533289e-06
0.21937500000000001,-5.6382391271370125e-06,0.21937500000000001,6.993647140518533e-06
0.22062500000000002,-5.670998913132053e-06,0.22062500000000002,6.99250461622114e-06
0.22187500000000002,-5.703300644199771e-06,0.22187500000000002,6.991353192375982e-06
0.22312500000000002,-5.735141400009525e-06,0.22312500000000002,6.990192872535772e-06
0.224375,-5.766522473749092e-06,0.224375,6.989023642489656e-06
0.225625,-5.79744552453576e-06,0.225625,6.98784540276165e-06
0.226875,-5.8279067722821765e-06,0.226875,6.986658185326178e-06
0.228125,-5.857909581408194e-06,0.228125,6.985461940445248e-06
0.229375,-5.887457096065418e-06,0.229375,6.984256636144437e-06
0.230625,-5.916546616191454e-06,0.230625,6.983042236896608e-06
0.231875,-5.945179928801281e-06,0.231875,6.981818732043621e-06
0.233125,-5.973358838673448e-06,0.233125,6.980586110927334e-06
0.234375,-6.001083111328853e-06,0.234375,6.979344306046187e-06
0.235625,-6.028352331099995e-06,0.235625,6.978093349374603e-06
0.236875,-6.055171994034936e-06,0.236875,6.976833152094741e-06
0.238125,-6.081538241886619e-06,0.238125,6.975563724864742e-06
0.239375,-6.107454201043083e-06,0.239375,6.974285060579177e-06
0.240625,-6.132921004819991e-06,0.240625,6.97299711305277e-06
0.241875,-6.157939210993391e-06,0.241875,6.971699875180093e-06
0.243125,-6.182510471575142e-06,0.243125,6.9703933149867225e-06
0.244375,-6.206636676608923e-06,0.244375,6.969077450236227e-06
0.245625,-6.2303170835775745e-06,0.245625,6.96775223474333e-06
0.246875,-6.253555724811122e-06,0.246875,6.9664176436390335e-06
0.248125,-6.276351136591529e-06,0.248125,6.96507364850163e-06
0.249375,-6.298707958762861e-06,0.249375,6.963720284858255e-06
0.250625,-6.32062230110364e-06,0.250625,6.962357502970917e-06
0.251875,-6.34210151773118e-06,0.251875,6.960985274417908e-06
0.253125,-6.363143061349774e-06,0.253125,6.959603648937218e-06
0.254375,-6.383751387062375e-06,0.254375,6.958212562580002e-06
0.255625,-6.403926605003107e-06,0.255625,6.956811994029977e-06
0.256875,-6.423667496591179e-06,0.256875,6.9554019788142796e-06
0.258125,-6.442980602372472e-06,0.258125,6.9539824743003464e-06
0.259375,-6.461865289963953e-06,0.259375,6.9525534662773225e-06
0.260625,-6.480322589652587e-06,0.260625,6.951114972508776e-06
0.261875,-6.498354270689788e-06,0.261875,6.949666978783853e-06
0.263125,-6.515961786135449e-06,0.263125,6.948209446022702e-06
0.264375,-6.533150187948422e-06,0.264375,6.946742427516028e-06
0.265625,-6.549916399478661e-06,0.265625,6.945265855762273e-06
0.26687500000000003,-6.56626460582288e-06,0.26687500000000003,6.943779759183144e-06
0.268125,-6.5821977841551416e-06,0.268125,6.942284127120502e-06
0.26937500000000003,-6.5977146626039485e-06,0.26937500000000003,6.940778970232486e-06
0.270625,-6.612820577345246e-06,0.270625,6.939264256544675e-06
0.27187500000000003,-6.627514828494441e-06,0.27187500000000003,6.93774000737335e-06
0.273125,-6.6417985316036265e-06,0.273125,6.936206222718511e-06
0.274375,-6.655676337175009e-06,0.274375,6.934662888369303e-06
0.275625,-6.669149573923505e-06,0.275625,6.933110025642009e-06
0.276875,-6.6822199826788165e-06,0.276875,6.931547623878487e-06
0.278125,-6.694886060643057e-06,0.278125,6.929975661762455e-06
0.279375,-6.707155552732047e-06,0.279375,6.92839416416291e-06
0.280625,-6.719026600876532e-06,0.280625,6.926803138185278e-06
0.281875,-6.73050250554752e-06,0.281875,6.925202587382273e-06
0.283125,-6.7415848583607385e-06,0.283125,6.923592504648468e-06
0.284375,-6.752276050292494e-06,0.284375,6.921972879325722e-06
0.285625,-6.7625779109903306e-06,0.285625,6.920343771810167e-06
0.286875,-6.772492032069977e-06,0.286875,6.918705146574666e-06
0.288125,-6.782021998219534e-06,0.288125,6.917056996513793e-06
0.289375,-6.7911688503841106e-06,0.289375,6.915399382023679e-06
0.290625,-6.799933192525032e-06,0.290625,6.913732260471761e-06
0.291875,-6.8083206983260425e-06,0.291875,6.912055670937889e-06
0.293125,-6.816329747749705e-06,0.293125,6.910369613422063e-06
0.294375,-6.823965900792928e-06,0.294375,6.9086740772661415e-06
0.295625,-6.831228333226136e-06,0.295625,6.906969108655403e-06
0.296875,-6.838119851693136e-06,0.296875,6.905254696931706e-06
0.29812500000000003,-6.844644488523954e-06,0.29812500000000003,6.9035308634113335e-06
0.299375,-6.85080375006919e-06,0.299375,6.901797604541571e-06
0.30062500000000003,-6.856597902782369e-06,0.30062500000000003,6.900054973613123e-06
0.301875,-6.86203184230294e-06,0.301875,6.898302942204282e-06
0.30312500000000003,-6.867105106778126e-06,0.30312500000000003,6.896541528078615e-06
0.304375,-6.871822805010197e-06,0.304375,6.894770788079541e-06
0.305625,-6.876182517601137e-06,0.305625,6.8929906582582134e-06
0.306875,-6.880191449454287e-06,0.306875,6.891201238090616e-06
0.308125,-6.883850726779883e-06,0.308125,6.8894024884968985e-06
0.309375,-6.887160694191152e-06,0.309375,6.887594459215052e-06
0.310625,-6.890124815583931e-06,0.310625,6.885777139586935e-06
0.311875,-6.892746053921428e-06,0.311875,6.8839505793505396e-06
0.313125,-6.895023830111313e-06,0.313125,6.882114771400438e-06
0.314375,-6.8969640061311566e-06,0.314375,6.8802697441583405e-06
0.315625,-6.8985661378917484e-06,0.315625,6.878415522493242e-06
0.316875,-6.8998337567904855e-06,0.316875,6.87655211351057e-06
0.318125,-6.900768674711344e-06,0.318125,6.8746795420793205e-06
0.319375,-6.9013733714484715e-06,0.319375,6.872797857937485e-06
0.320625,-6.901650177582042e-06,0.320625,6.870907025557926e-06
0.321875,-6.901600400510688e-06,0.321875,6.869007108889491e-06
0.323125,-6.9012284527047996e-06,0.323125,6.8670981256957475e-06
0.324375,-6.900535652221151e-06,0.324375,6.865180083082123e-06
0.325625,-6.899523221193249e-06,0.325625,6.8632530378920364e-06
0.326875,-6.898193280591158e-06,0.326875,6.861316975914633e-06
0.328125,-6.896550203805418e-06,0.328125,6.859371936229763e-06
0.32937500000000003,-6.8945957742982955e-06,0.32937500000000003,6.857417957917278e-06
0.330625,-6.892330532082269e-06,0.330625,6.855455033871749e-06
0.33187500000000003,-6.889758672912194e-06,0.33187500000000003,6.85348322448931e-06
0.333125,-6.886881404710721e-06,0.333125,6.851502558191669e-06
0.33437500000000003,-6.883701328064262e-06,0.33437500000000003,6.849513031426113e-06
0.335625,-6.880221672389553e-06,0.335625,6.847514654850784e-06
0.336875,-6.8764416667477235e-06,0.336875,6.845507542152518e-06
0.338125,-6.872367116272926e-06,0.338125,6.843491636487897e-06
0.339375,-6.867999164938965e-06,0.339375,6.841466991147627e-06
0.340625,-6.863339585549966e-06,0.340625,6.839433655869698e-06
0.341875,-6.858389962616229e-06,0.341875,6.837391644864965e-06
0.343125,-6.853155703367975e-06,0.343125,6.835340983002425e-06
0.344375,-6.847634750783982e-06,0.344375,6.833281712914641e-06
0.345625,-6.84183299526353e-06,0.345625,6.831213848812467e-06
0.346875,-6.835751591438566e-06,0.346875,6.829137426223042e-06
0.348125,-6.829393004892381e-06,0.348125,6.827052491331642e-06
0.349375,-6.822757349311814e-06,0.349375,6.824959076112691e-06
0.350625,-6.815850159824777e-06,0.350625,6.822857180566189e-06
0.351875,-6.808673244762531e-06,0.351875,6.820746882851836e-06
0.353125,-6.801225620023388e-06,0.353125,6.818628172311492e-06
0.354375,-6.793512834946114e-06,0.354375,6.816501123552143e-06
0.355625,-6.785535848763402e-06,0.355625,6.814365754337359e-06
0.356875,-6.777298359850192e-06,0.356875,6.812222061114426e-06
0.358125,-6.768800442813472e-06,0.358125,6.810070143359326e-06
0.359375,-6.760046396436792e-06,0.359375,6.807909997519346e-06
0.36062500000000003,-6.75103609282246e-06,0.36062500000000003,6.805741634252627e-06
0.361875,-6.741775791851978e-06,0.361875,6.803565160140579e-06
0.36312500000000003,-6.7322630634691905e-06,0.36312500000000003,6.80138058228863e-06
0.364375,-6.722503794520662e-06,0.364375,6.7991878864859245e-06
0.36562500000000003,-6.712497075511692e-06,0.36562500000000003,6.796987172208446e-06
0.366875,-6.7022491343493584e-06,0.366875,6.794778450114336e-06
0.368125,-6.691758180465968e-06,0.368125,6.792561748625303e-06
0.369375,-6.681030377819752e-06,0.369375,6.790337117479339e-06
0.370625,-6.6700635876770775e-06,0.370625,6.78810462062529e-06
0.371875,-6.658862709230107e-06,0.371875,6.785864240299588e-06
0.373125,-6.647430858208736e-06,0.373125,6.783616065320075e-06
0.374375,-6.635769349117027e-06,0.374375,6.781360106344891e-06
0.375625,-6.6238800293660915e-06,0.375625,6.779096395348461e-06
0.376875,-6.611763868846765e-06,0.376875,6.776824982068774e-06
0.378125,-6.599425073972043e-06,0.378125,6.774545934007392e-06
0.379375,-6.586865112012674e-06,0.379375,6.772259272480596e-06
0.380625,-6.5740862815744094e-06,0.380625,6.769965011699242e-06
0.381875,-6.561092170898064e-06,0.381875,6.7676632227176015e-06
0.383125,-6.547882414054129e-06,0.383125,6.765353933957385e-06
0.384375,-6.534461682861092e-06,0.384375,6.763037195156585e-06
0.385625,-6.5208282435946785e-06,0.385625,6.760713020526055e-06
0.386875,-6.506989002730279e-06,0.386875,6.758381505989064e-06
0.388125,-6.492943484204261e-06,0.388125,6.75604261957119e-06
0.389375,-6.478695066647333e-06,0.389375,6.7536964678538425e-06
0.390625,-6.464246151693942e-06,0.390625,6.751343065047877e-06
0.39187500000000003,-6.449597819369046e-06,0.39187500000000003,6.748982439575002e-06
0.393125,-6.43475265249549e-06,0.393125,6.746614673147633e-06
0.39437500000000003,-6.419711393590433e-06,0.39437500000000003,6.744239748002201e-06
0.395625,-6.4044789560568915e-06,0.395625,6.741857784930971e-06
0.39687500000000003,-6.389055503319696e-06,0.39687500000000003,6.739468766170376e-06
0.398125,-6.373443859786221e-06,0.398125,6.737072773432828e-06
0.39937500000000004,-6.35764636669478e-06,0.39937500000000004,6.734669817376471e-06
0.400625,-6.3416656637116375e-06,0.400625,6.732259969055576e-06
0.401875,-6.325501022530489e-06,0.401875,6.729843271102709e-06
0.403125,-6.309157225103945e-06,0.403125,6.727419744834151e-06
0.404375,-6.292637173999083e-06,0.404375,6.724989432882467e-06
0.405625,-6.27594123514541e-06,0.405625,6.722552420512784e-06
0.406875,-6.2590710250276516e-06,0.406875,6.72010874325224e-06
0.408125,-6.242030956116196e-06,0.408125,6.717658383337266e-06
0.409375,-6.2248196712744175e-06,0.409375,6.7152014544547e-06
0.410625,-6.2074444855397815e-06,0.410625,6.71273797436811e-06
0.411875,-6.189901931463737e-06,0.411875,6.710267989262775e-06
0.413125,-6.172197807075008e-06,0.413125,6.7077915630875395e-06
0.414375,-6.154332929497741e-06,0.414375,6.705308734922255e-06
0.415625,-6.136308215332065e-06,0.415625,6.7028195367413446e-06
0.416875,-6.118127359400205e-06,0.416875,6.7003240289409405e-06
0.418125,-6.099792006608595e-06,0.418125,6.697822232837325e-06
0.419375,-6.081304231742024e-06,0.419375,6.695314233695626e-06
0.420625,-6.062666912498571e-06,0.420625,6.692800035068558e-06
0.421875,-6.043880436124027e-06,0.421875,6.690279725773962e-06
0.42312500000000003,-6.024947801108738e-06,0.42312500000000003,6.6877533200226935e-06
0.424375,-6.0058715476429825e-06,0.424375,6.685220895974453e-06
0.42562500000000003,-5.986651732570181e-06,0.42562500000000003,6.682682460734668e-06
0.426875,-5.967292221242815e-06,0.426875,6.680138074699471e-06
0.42812500000000003,-5.947793852101313e-06,0.42812500000000003,6.677587812475849e-06
0.429375,-5.9281600393035205e-06,0.429375,6.675031691827371e-06
0.43062500000000004,-5.908391624842579e-06,0.43062500000000004,6.6724697589393145e-06
0.431875,-5.888492232486442e-06,0.431875,6.669902081313239e-06
0.433125,-5.868460615232607e-06,0.433125,6.667328722897992e-06
0.434375,-5.8483017575383656e-06,0.434375,6.664749694351713e-06
0.435625,-5.828016789166668e-06,0.435625,6.662165048965107e-06
0.436875,-5.80760814017367e-06,0.436875,6.6595748258180265e-06
0.438125,-5.7870751106747775e-06,0.438125,6.6569791066228845e-06
0.439375,-5.766423861075509e-06,0.439375,6.654377902037822e-06
0.440625,-5.745653464117595e-06,0.440625,6.6517712973279686e-06
0.441875,-5.724766879211529e-06,0.441875,6.649159303151464e-06
0.443125,-5.703764806241907e-06,0.443125,6.6465419870098685e-06
0.444375,-5.6826510821395004e-06,0.444375,6.643919416404742e-06
0.445625,-5.66142587032914e-06,0.445625,6.641291598441512e-06
0.446875,-5.640094745018587e-06,0.446875,6.638658618385307e-06
0.448125,-5.618653442951427e-06,0.448125,6.63602047978884e-06
0.449375,-5.597109847599313e-06,0.449375,6.633377285680808e-06
0.450625,-5.575461454299102e-06,0.450625,6.63072905382478e-06
0.451875,-5.5537137981787055e-06,0.451875,6.628075823300605e-06
0.453125,-5.531865429730942e-06,0.453125,6.625417672267986e-06
0.45437500000000003,-5.509919269286456e-06,0.45437500000000003,6.622754625595917e-06
0.455625,-5.487878986798478e-06,0.455625,6.620086715258822e-06
0.45687500000000003,-5.465745179122905e-06,0.45687500000000003,6.617414051390824e-06
0.458125,-5.443519999204227e-06,0.458125,6.614736641097352e-06
0.45937500000000003,-5.4212045164092615e-06,0.45937500000000003,6.612054495036546e-06
0.460625,-5.398801246059293e-06,0.460625,6.609367734000671e-06
0.46187500000000004,-5.376311456473104e-06,0.46187500000000004,6.606676372200582e-06
0.463125,-5.3537383237767244e-06,0.463125,6.6039804664796975e-06
0.464375,-5.331080942028166e-06,0.464375,6.601280041707014e-06
0.465625,-5.308344857013481e-06,0.465625,6.598575168936804e-06
0.466875,-5.28552939371707e-06,0.466875,6.595865890801633e-06
0.468125,-5.262637330361031e-06,0.468125,6.5931522712503465e-06
0.469375,-5.239670436196775e-06,0.469375,6.590434317388372e-06
0.470625,-5.2166279047582975e-06,0.470625,6.587712125138978e-06
0.471875,-5.193516660284558e-06,0.471875,6.584985698054879e-06
0.473125,-5.170333967186025e-06,0.473125,6.582255132059345e-06
0.474375,-5.147084667811441e-06,0.474375,6.579520434257802e-06
0.475625,-5.123768016090935e-06,0.475625,6.576781693468092e-06
0.476875,-5.100387568290898e-06,0.476875,6.574038899032075e-06
0.478125,-5.0769445536502644e-06,0.478125,6.571292132662165e-06
0.479375,-5.053439636526491e-06,0.479375,6.568541479623491e-06
0.480625,-5.029877211626399e-06,0.480625,6.565786932810624e-06
0.481875,-5.0062557157559695e-06,0.481875,6.5630285419615575e-06
0.483125,-4.982579550727451e-06,0.483125,6.560266385235991e-06
0.484375,-4.958849970648771e-06,0.484375,6.557500494608348e-06
0.48562500000000003,-4.935065927469395e-06,0.48562500000000003,6.554730909158479e-06
0.486875,-4.9112337379142446e-06,0.486875,6.551957689282517e-06
0.48812500000000003,-4.887351895632719e-06,0.48812500000000003,6.549180888271167e-06
0.489375,-4.863422937262385e-06,0.489375,6.546400545204278e-06
0.49062500000000003,-4.8394489553516e-06,0.49062500000000003,6.5436167027144165e-06
0.491875,-4.815431459803676e-06,0.491875,6.5408294105395726e-06
0.49312500000000004,-4.791370319168209e-06,0.49312500000000004,6.538038714865024e-06
0.494375,-4.7672708411994336e-06,0.494375,6.535244654770622e-06
0.49562500000000004,-4.7431321270607896e-06,0.49562500000000004,6.532447287099785e-06
0.496875,-4.718955267435376e-06,0.496875,6.529646668695932e-06
0.498125,-4.694745399547173e-06,0.498125,6.5268428350861996e-06
0.499375,-4.6704992300306e-06,0.499375,6.524035828903152e-06
0.500625,-4.646223530357929e-06,0.500625,6.521225706990208e-06
0.501875,-4.621915927316422e-06,0.501875,6.518412508427218e-06
